AGRUPADO,ATUALIZADO,BLOQ_2469,CANCELADO,CODIGO,DE_ATE,DE_ESTOQUE,DTULTSETOR,EMPROD,EXPEDICAO,FATURADO,GRADE,HORA_ATU,IMPRESSO,IMP_ETIQ,ITEM,ITEMNF,LOTE,MATERIAL,MI,NFISCAL,NOME,NUMEROS,PEDIDO,PRODUCAO,QTDE_ETIQ,QUEBORIGEM,REFERENCIA,REMESSA,SERIE,SETORESTOQ,TOTAL,ULTSETOR
False,2026-03-17,False,False,00003801,001-001,False,,,,,,09:03,True,,001,,000001,,S,,,00000000000000000000000000250000000000000020000000000000000000045,000024,,,,,000037,,,45,
False,2026-03-17,False,False,00003901,001-001,False,,,,,,09:04,True,,001,,000001,,S,,,00000000000000000000000000000025002500000000000000000000000000050,000025,,,,,000038,,,50,
False,2026-03-17,False,False,00004901,001-001,False,,,,,,09:31,True,,001,,000001,,S,,,00000000000200020002000200000000000000000000000000000000000000008,00003A,,,,,000046,,,8,
False,2026-03-17,False,False,00005001,001-001,False,,,,,,13:09,True,,001,,000001,,S,,,00000000000600000000000000000000000000000000000000000000000000006,00004A,,,,,000047,,,6,
False,2026-03-17,False,False,00004001,001-001,False,,,,,,09:04,True,,001,,000001,,S,,,00100010001000000000000000000000000000250000000000000000000000055,000026,,,,,000039,,,55,
False,2026-03-17,False,False,00004101,001-001,False,,,,,,09:04,True,,001,,000001,,S,,,00000000000000200020002000000000000000000000000000000000000000060,000027,,,,,000040,,,60,
False,2026-03-17,False,False,00004201,001-001,False,,,,,,09:04,True,,001,,000001,,S,,,00000006000600120012001200120000000000000000000000000000000000060,000017,,,,,000041,,,60,
False,2026-03-17,False,False,00004301,001-001,False,,,,,,09:04,True,,002,,000001,,S,,,00000003000300060006000600060003000000000000000000000000000000033,000017,,,,,000041,,,33,
False,2026-03-17,False,False,00004401,001-008,False,,,,,,09:04,True,,001,,000001,,N,,,00020000000000000000000000000000000000000000000000000000000000002,000015,,,,,000042,,,2,
False,2026-03-17,False,False,00004402,002-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000014000000000000000000000000000000000000000000000000000000014,000015,,,,,000042,,,14,
False,2026-03-17,False,False,00004403,003-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000002300000000000000000000000000000000000000000000000000023,000015,,,,,000042,,,23,
False,2026-03-17,False,False,00004404,004-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000000000340000000000000000000000000000000000000000000000034,000015,,,,,000042,,,34,
False,2026-03-17,False,False,00004405,005-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000000000000039000000000000000000000000000000000000000000039,000015,,,,,000042,,,39,
False,2026-03-17,False,False,00004406,006-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000000000000000002900000000000000000000000000000000000000029,000015,,,,,000042,,,29,
False,2026-03-17,False,False,00004407,007-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000000000000000000000190000000000000000000000000000000000019,000015,,,,,000042,,,19,
